state,Count,Year,Location,Total Population,statecode,CountRate,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,year,TotalCoverage
NE,18538,2016,Nebraska,1845000,NE,0.010047696,0.55,0.09,0.13,0.13,0.02,0.09,2016,0.92
OH,123060,2016,Ohio,11278700,OH,0.010910832,0.52,0.05,0.21,0.15,0.01,0.06,2016,0.94
SD,12039,2016,South Dakota,835800,SD,0.014404164,0.53,0.08,0.14,0.14,0.02,0.08,2016,0.91
UT,26453,2016,Utah,2999300,UT,0.008819725,0.6,0.09,0.12,0.09,0.01,0.09,2016,0.91
NV,24563,2016,Nevada,2890400,NV,0.008498132,0.48,0.06,0.19,0.13,0.02,0.11,2016,0.88
OR,40631,2016,Oregon,4014500,OR,0.010121061,0.47,0.08,0.23,0.15,0.01,0.06,2016,0.94
HI,6741,2016,Hawaii,1364600,HI,0.004939909,0.55,0.05,0.18,0.14,0.05,0.03,2016,0.97
AK,16620,2015,Alaska,707500,AK,0.023491166,0.48,0.05,0.2,0.07,0.06,0.15,2015,0.86
AL,11213,2015,Alabama,4730100,AL,0.002370563,0.47,0.06,0.2,0.15,0.02,0.1,2015,0.9
AZ,92188,2015,Arizona,6655100,AZ,0.013852234,0.43,0.07,0.22,0.15,0.02,0.11,2015,0.89
FL,145074,2015,Florida,19812500,FL,0.007322347,0.39,0.1,0.19,0.17,0.02,0.13,2015,0.87
GA,98270,2015,Georgia,9909700,GA,0.009916546,0.47,0.07,0.18,0.11,0.02,0.14,2015,0.85
IN,56290,2015,Indiana,6415100,IN,0.00877461,0.53,0.06,0.17,0.14,0.01,0.1,2015,0.91
LA,32466,2015,Iowa,3019800,LA,0.010751043,0.54,0.08,0.18,0.14,0.01,0.05,2015,0.95
LA,32466,2015,Louisiana,4530300,LA,0.007166413,0.45,0.06,0.23,0.12,0.02,0.12,2015,0.88
MO,38938,2015,Missouri,5890900,MO,0.006609856,0.51,0.08,0.15,0.15,0.02,0.1,2015,0.91
MS,19522,2015,Mississippi,2889300,MS,0.006756654,0.41,0.06,0.26,0.13,0.02,0.13,2015,0.88
NC,36695,2015,North Carolina,9733700,NC,0.003769892,0.45,0.09,0.19,0.14,0.03,0.11,2015,0.9
ND,18657,2015,North Dakota,726400,ND,0.025684196,0.56,0.1,0.11,0.13,0.02,0.08,2015,0.92
NJ,28508,2015,New Jersey,8776300,NJ,0.003248294,0.55,0.06,0.17,0.12,0,0.09,2015,0.9
OK,58680,2015,Oklahoma,3783700,OK,0.015508629,0.46,0.06,0.17,0.14,0.02,0.14,2015,0.85
PA,120698,2015,Pennsylvania,12386400,PA,0.009744397,0.53,0.07,0.18,0.15,0.01,0.06,2015,0.94
SC,52298,2015,South Carolina,4734000,SC,0.011047317,0.45,0.07,0.2,0.15,0.02,0.11,2015,0.89
TN,58885,2015,Tennessee,6422800,TN,0.00916812,0.47,0.07,0.2,0.14,0.02,0.1,2015,0.9
TX,193379,2015,Texas,26777500,TX,0.007221697,0.47,0.07,0.18,0.1,0.02,0.17,2015,0.84
WI,213088,2015,Wisconsin,5620900,WI,0.037909943,0.56,0.06,0.17,0.14,0.01,0.06,2015,0.94
WY,23220,2015,Wyoming,568900,WY,0.040815609,0.54,0.08,0.12,0.13,0.02,0.1,2015,0.89
AR,27557,2015,Arkansas,2882300,AR,0.009560767,0.41,0.07,0.26,0.15,0.02,0.09,2015,0.91
DE,11367,2015,Delaware,918300,DE,0.012378308,0.52,0.05,0.2,0.16,0.01,0.06,2015,0.94
IL,134024,2015,Illinois,12549700,IL,0.010679458,0.53,0.07,0.2,0.13,0.01,0.07,2015,0.94
KS,28070,2015,Kansas,2816600,KS,0.009965916,0.54,0.08,0.13,0.13,0.02,0.09,2015,0.9
ME,22558,2015,Maine,1292600,ME,0.017451648,0.47,0.07,0.2,0.16,0.02,0.09,2015,0.92
MI,84350,2015,Michigan,9693800,MI,0.008701438,0.5,0.06,0.23,0.15,0.01,0.06,2015,0.95
MT,24013,2015,Montana,1005900,MT,0.023872154,0.44,0.11,0.15,0.16,0.02,0.12,2015,0.88
NH,19398,2015,New Hampshire,1287600,NH,0.015065238,0.58,0.06,0.12,0.15,0.01,0.07,2015,0.92
NM,29069,2015,New Mexico,2035300,NM,0.014282415,0.36,0.05,0.32,0.14,0.02,0.11,2015,0.89
VA,47615,2015,Virginia,8051200,VA,0.005914025,0.54,0.07,0.12,0.13,0.05,0.09,2015,0.91
WV,7900,2015,West Virginia,1791500,WV,0.004409713,0.45,0.04,0.27,0.18,0.01,0.05,2015,0.95
ID,0,2015,Idaho,1617200,ID,0,0.46,0.11,0.17,0.13,0.01,0.11,2015,0.88
NE,24553,2015,Nebraska,1838400,NE,0.013355635,0.55,0.09,0.13,0.13,0.02,0.08,2015,0.92
OH,115687,2015,Ohio,11293300,OH,0.010243861,0.52,0.05,0.21,0.15,0.01,0.06,2015,0.94
SD,20393,2015,South Dakota,829000,SD,0.024599517,0.48,0.1,0.13,0.14,0.03,0.11,2015,0.88
UT,38869,2015,Utah,2945200,UT,0.013197406,0.58,0.1,0.11,0.09,0.01,0.11,2015,0.89
NV,38180,2015,Nevada,2842700,NV,0.013430893,0.48,0.07,0.19,0.13,0.02,0.12,2015,0.89
OR,52871,2015,Oregon,3948700,OR,0.01338947,0.46,0.08,0.24,0.15,0.01,0.07,2015,0.94
HI,0,2015,Hawaii,1362600,HI,0,0.54,0.05,0.18,0.13,0.05,0.04,2015,0.95
